,Quelle_Inst,function,activity,Zeitraum,Institution,spezifische Institution,SOFISwiki_Inst/Projekt,SOFISwiki_instID/Projekt-ID
"Brähler , Elmar","http://medpsy.uniklinikum-leipzig.de/medpsych.site,postext,mitarbeiter,a_id,4109.html",Eintritt in den Ruhestand,Beruflicher Werdegang,2013/04,Universität Leipzig ,n,,
"Brähler , Elmar","http://medpsy.uniklinikum-leipzig.de/medpsych.site,postext,mitarbeiter,a_id,4109.html",Wissenschaftlicher Beirat,Wissenschaftliche Funktionen,1992 -,DGPFG  ,n,,
"Brähler , Elmar","http://medpsy.uniklinikum-leipzig.de/medpsych.site,postext,mitarbeiter,a_id,4109.html",Kollegiat ,Wissenschaftliche Funktionen,2004 – 2012 	, DFG ,"Fachgebiet Klinische, Differentielle und Diagnostische Psychologie, Medizinische Psychologie  ",,
"Brähler , Elmar","http://medpsy.uniklinikum-leipzig.de/medpsych.site,postext,mitarbeiter,a_id,4109.html",Mitglied des wissenschaftlichen Beirate,Wissenschaftliche Funktionen,2009 -,Sigmund-Freud-Institut,n,,
"Brähler , Elmar","http://medpsy.uniklinikum-leipzig.de/medpsych.site,postext,mitarbeiter,a_id,4109.html",Mitglied des Hochschulrates,Wissenschaftliche Funktionen,2010 – 2015 	,Universität Leipzig ,n,,
"Brähler , Elmar","http://medpsy.uniklinikum-leipzig.de/medpsych.site,postext,mitarbeiter,a_id,4109.html",Mitglied des Rates für Sozial- und Wirtschaftsdaten,Wissenschaftliche Funktionen,2011 – 2014	, Rat für Sozial- und Wirtschaftsdaten,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Studium,"Psychologie, Soziologie, Pädagogik und Politikwissenschaften",1966 - 1970,Universität Mannheim,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Studium,"Psychologie, Soziologie, Pädagogik und Politikwissenschaften",1966 - 1970,Universität Hamburg,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Dissertation,"Gebiet:
Selbstpräsentation nach Erfolg und Misserfolg",1970 - 1973,Universität Mannheim,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Habilitation,"(Gebiet:
Informationssuche, Informationsvermeidung und
Informationsbewertung vor und nach Entscheidungen",1973 - 1978,Universität Mannheim,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Wissenschaftlicher Angestellter,Akademische Positionen,1970/10 - 1975/12,Universität Mannheim, Sonderforschungsbereich 24,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Habilitationsstipendiat,Akademische Positionen,1976/01 - 1977/12, Deutsche Forschungsgemeinschaft,"(Betreuer
Prof. Dr. Martin Irle und Prof.Dr. Hans Albert",,
"Frey, Dieter  ",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Wissenschaftlicher Angestellter,Akademische Positionen,1978/01 - 1978/10,Universität Mannheim, Sonderforschungsbereich 24,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,C3-Professor für Psychologie,Akademische Positionen,1978/11 - 1981/12,Universität Kiel,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,C4-Professor für Psychologie,Akademische Positionen,1982 - 1993,Universität Kiel,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Direktor,Akademische Positionen,1982 - 1993,Universität Kiel, Institut für Psychologie,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,C4-Professor,Akademische Positionen,1993 - ,LMU München,Psychologie,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Dekan,Akademische Positionen,1998 - 2002,LMU München, Fakultät 11 ,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Geschäftsführender Direktor,Akademische Positionen,2002 - 2004,LMU München,Department Psychologie,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Akademischer Leiter ,Akademische Positionen,2003/01/01,Bayerische Elite-Akademie,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied des Herausgeberkreises,Herausgebertätigkeiten,1980 .,Reihe Die Einheit der Gesell-schaftswissenschaften. Studien in den Grenzbereichen der Wirtschafts- und Sozialwissenschaften,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitherausgeber,Herausgebertätigkeiten,1982 - 1986,"Zeitschrift Psychologische Rundschau (mit den Pro-fessoren Prinz, Baumann, Todt)",n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied des Editorial Board,Herausgebertätigkeiten,1982 - 2000,European Journal of Social Psychology,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied des Wissenschaftlichen Beirates,Herausgebertätigkeiten,1983 - 2000,Verlag Urban & Schwar-zenberg bzw. der Psychologie Verlags Union,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied im Editorial Board,Herausgebertätigkeiten,1988 - ,Zeitschrift für Sozialpsychologie,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied im Editorial Board,Herausgebertätigkeiten,1988 - ,Zeitschrift Psychomed,n,,
"Frey, Dieter  ",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitherausgeber,Herausgebertätigkeiten,1988 - 1996,German Journal of Psychology,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied im Editorial Board,Herausgebertätigkeiten,1990 -,Journals Social Justice Research,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied im Editorial Board,Herausgebertätigkeiten,1991 - 2000,Journal of Applied Psychology,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied des Wissenschaftlichen Beirates,Herausgebertätigkeiten,1992 - ,Huber Verlags (Bern),n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied des Herausgeber-Beirates,Herausgebertätigkeiten,1992 - ,Zeitschrift für Politische und poli-otrope Psychologie,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied des Herausgeber-Beirates,Herausgebertätigkeiten,1992 - ,Zeitschrift für Gesundheitspsycho-logie,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitherausgeber,Herausgebertätigkeiten,1992 - ,"Enzyklopädie für Psychologie (zusammen mit den Professoren Weinert, Prinz, Kuhl, Bierbaumer, Schneider)",n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitherausgeber,Herausgebertätigkeiten,1993 - 1995,Zeitschrift für Sozialpsychologie,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Geschäftsführender Herausgeber,Herausgebertätigkeiten,1996 - 1997,Zeitschrift für Sozialpsychologie,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied im Editorial Board,Herausgebertätigkeiten,2000 - ,Zeitschrift Justice,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitherausgeber,Herausgebertätigkeiten,2000 - ,International Journal of Applied Psychology,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitherausgeber,Herausgebertätigkeiten,2005 - ,Journal of Psychology,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied der Sprechergruppe,Funktionen/Mitgliedschaften,1980 - 1985,Deutsche Gesellschaft für Psychologie,Arbeitsgruppe Sozialpsychologie,,
"Frey, Dieter  ",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied des Auswahlkomitees zur Vorbereitung des 33. Kongresses der Deut-schen Gesellschaft für Psychologie,Funktionen/Mitgliedschaften,1882 [!],Deutsche Gesellschaft für Psychologie,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied der Gutachterjury zur Verleihung eines Jungwissenschaftlerpreises in Sozialpsychologie,Funktionen/Mitgliedschaften,1982,Jungwissenschaftlerpreis in Sozialpsychologie (mit den Professoren Scherer und Bierhoff),n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied der Gutachterjury zur Verleihung eines Jungwissenschaftlerpreises in Sozialpsychologie,Funktionen/Mitgliedschaften,1984,Jungwissenschaftlerpreis in Sozialpsychologie (mit den Professoren Stroebe und Graumann),n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied des Fakultätskonvents,Funktionen/Mitgliedschaften,1984 - 1986,Universität Kiel,Philosophische Fakultät,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Vorsitzender der Kommission zur Förderung des wissenschaftlichen Nachwuch-ses (Graduiertenstipendien),Funktionen/Mitgliedschaften,1986 - 1993,Universität Kiel,Philosophische Fakultät,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied im Akademischen Senat,Funktionen/Mitgliedschaften,1986 - 1988,Universität Kiel,Akademischer Senat,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied des Auswahlkomitees,Funktionen/Mitgliedschaften,1987,36. Kongresses der Deut-schen Gesellschaft für Psychologie in Berlin,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Fachgutachter,Funktionen/Mitgliedschaften,1988- 1996,Deutsche Forschungsgemeinschaft,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Inhaber der Theodor-Heuss-Professur,Funktionen/Mitgliedschaften,1988 – 1989,New School for Social Research in New York,Graduate Faculty of Social and Political Science,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied im Vorstand,Funktionen/Mitgliedschaften,1988 - 1990,Deutsche Gesellschaft für Psychologie,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Organisation des 37. Kongresses,Funktionen/Mitgliedschaften,1990,Deutsche Gesellschaft für Psychologie in Kiel,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,"Mitglied in der Senatskommission ""Forschung und Wissenstransfer""",Funktionen/Mitgliedschaften,1990 - 1993,Universität Kiel,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied des Wissenschaftlichen Beirats,Funktionen/Mitgliedschaften,1990 – 1999,Universität Bielefeld,Zentrum für Interdisziplinäre Forschung (ZIF),,
"Frey, Dieter  ",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Vorsitzender,Funktionen/Mitgliedschaften,1991 – 2002,Auswärtiges Amt,Theodor-Heuss-Kommission,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied des Auswahlkomitees,Funktionen/Mitgliedschaften,1992,38. Kongresses der Deut-schen Gesellschaft für Psychologie in Trier,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Gutachter der Koordinierungs- und Abwicklungsstelle für die Institute und Einrichtungen,Funktionen/Mitgliedschaften,1992,ehemaligen Akademie der Wissenschaften der DDR (KAI - AdW),n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Stellvertretender Fachausschussvorsitzender,Funktionen/Mitgliedschaften,1992 – 1996,Deutsche Forschungsgemeinschaft,Fach Psychologie,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied,Funktionen/Mitgliedschaften,1993 – 1996,DFG,Senat für Umweltforschung,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied des Auswahlkomitees,Funktionen/Mitgliedschaften,1994,39. Kongresses der Deut-schen Gesellschaft für Psychologie in Hamburg,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied des Vorbereitungskomitees,Funktionen/Mitgliedschaften,1996,40. Kongress der Deutschen Gesell-schaft für Psychologie in München,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied,Funktionen/Mitgliedschaften,1996 - ,Bayerische Akademie der Wissenschaften,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied des wissenschaftlichen Beirats,Funktionen/Mitgliedschaften,1997 - ,Universität Bielefeld,Institut für interdisziplinäre Konflikt- und Gewaltforschung,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Vorsitzender des wissenschaftlichen Beirats,Funktionen/Mitgliedschaften,1998 - 2005,Universität Bielefeld,Institut für interdisziplinäre Konflikt- und Gewaltforschung,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Deutscher Psychologie Preisträger 1998,Funktionen/Mitgliedschaften,1998,n,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Dekan,Funktionen/Mitgliedschaften,1999 - 2002,"LUDWIG-MAXIMILIANS-UNIVERSITÄT, München",Fakultät 11 – Psychologie und Pädagogik,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied der Evaluationskommission zur Beurteilung der Psychologie,Funktionen/Mitgliedschaften,2000 – 2001,Berliner Hochschulen,n,,
"Frey, Dieter  ",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied der Senatskommission für Theorie-/Praxis-Transfer,Funktionen/Mitgliedschaften,2000 - 2002,LMU München,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Vergleichender Evaluator von sechs sozialwissenschaftlichen Max-Planck-Instituten,Funktionen/Mitgliedschaften,2001 - 2002,n,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied der Expertenkommission „Betriebliche Gesundheitspolitik,Funktionen/Mitgliedschaften,2001 - 2004,Bertelsmann-Stiftung und Hans Böckler Stiftung,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Förderung von vier DFG-Forschungsprojekten,Forschungsprojekte,1970 - 1980,Universität Mannheim,Sonderforschungsbereich über experimentelle Untersuchungen zur Dissonanztheorie und zur Theorie der kognitiven Kontrolle,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt (Einzelantragsverfahren) über Genesung nach schweren Unfällen,Forschungsprojekte,1982 - 1983,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt (Einzelantragsverfahren) über Genesung nach Krankheiten,Forschungsprojekte,1984 - 1985,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt (Einzelantragsverfahren) über Genesung nach Hüftoperationen,Forschungsprojekte,1986 - 1987,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,"DFG-Projekt (Einzelantragsverfahren) über den ""Knew it all along-Effekt"" (""Ich wußte es schon immer-Effekt"")",Forschungsprojekte,1987 - 1988,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,"Akademiejahr (Forschungsfreijahr), finanziert durch die VW-Stiftung",Forschungsprojekte,1987 – 1988,n,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Forschungsprojekt über die Immunschwächekrankheit AIDS,Forschungsprojekte,1987 - 1989,finanziert durch das Sozialministerium des Landes Schleswig-Holstein,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt über Informationssuche und Informationsverarbeitung bei Gruppen-entscheidungen,Forschungsprojekte,1991 - 1996,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt über Informationssuche bei Entscheidungen,Forschungsprojekte,1994 - 1996,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt über Psychologische Sättigung,Forschungsprojekte,1995 - 1999,DFG-Projekt,n,,
"Frey, Dieter  ",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt über Escalation of commitment,Forschungsprojekte,1995 - 2000,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,"DFG-Projekt über Informationssuche bei vorläufigen Entscheidungen im Rahmen der Forschergruppe “Wissen und Handeln” (Sprecher Frey, Mandl, von Rosenstiel)",Forschungsprojekte,1994 - 2001,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt über Gruppenprozesse (mit Schulz-Hardt),Forschungsprojekte,2001 - 2003,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt über Escalation of commitment / Determinanten (mit Schulz-Hardt),Forschungsprojekte,2002 - 2006,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt über Hidden Profile (mit Schulz-Hardt),Forschungsprojekte,2002 - 2004,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt über Einführung Euro (mit Jonas),Forschungsprojekte,2002 - 2006,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt über Bundestagswahl (mit Greitemeyer),Forschungsprojekte,2003 - 2005,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,"DFG-Projekt über Effekte prozeduraler Gerechtigkeit (Fairness) und Innovation (mit Jonas, Maier, Streicher)",Forschungsprojekte,2004 - 2006,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt über Auswirkungen von Belohnung und Bestrafung (mit Greitemeyer),Forschungsprojekte,2004 - 2007,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt über Urteilsverzerrung bei Preisvergleichen (mit Greitemeyer),Forschungsprojekte,2004 - 2008,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt über Informationssuche bei Entscheidungen (mit Jonas),Forschungsprojekte,2005 - 2007,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt über Computerspiele und Aggression (mit Fischer),Forschungsprojekte,2005 - 2007,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt über Zivilcourage (mit Fischer),Forschungsprojekte,2005 - 2008,DFG-Projekt,n,,
"Frey, Dieter  ",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Forschungsprojekt (Siemens) über Change Management (mit Schweizer),Forschungsprojekte,2006 - 2007,Siemens,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Forschungsprojekt (RHI) über soziale Marktwirtschaft (mit Kaminski),Forschungsprojekte,2006 - 2008,RHI,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt über Führungsstile (mit Peus),Forschungsprojekte,2007 - 2008,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Forschungsprojekt über Euro (mit Kaminski),Forschungsprojekte,2007 - 2008,n,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt über Präferenzen (mit Greitemeyer),Forschungsprojekte,2007 - 2009,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt über Kundenbeschwerden (mit Traut-Mattausch),Forschungsprojekte,2007 - 2009,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,DFG-Projekt über Reformbereitschaft bei Bürgern (mit Traut-Mattausch),Forschungsprojekte,2007 - 2009,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,"DFG-Projekt über Terrorismus (mit Greitemeyer, Fischer, Köppl)",Forschungsprojekte,2008 - 2009,DFG-Projekt,n,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Stellvertretender Sprecher,Akademische Selbstverwaltung,1975 - 1978,Universität Mannheim,SFB 24,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Geschäftsführender Direktor,Akademische Selbstverwaltung,1980 - 1983,Universität Kiel,Institut für Psychologie,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied des Fakultätskonvents,Akademische Selbstverwaltung,1984 - 1986,Universität Kiel,Philosophische Fakultät,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied des Akademischen Senats,Akademische Selbstverwaltung,1986 - 1988,Universität Kiel,Akademischer Senat,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Geschäftsführender Direktor,Akademische Selbstverwaltung,1992 - 1993,Universität Kiel,Institut für Psychologie,,
"Frey, Dieter  ",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Geschäftsführender Direktor,Akademische Selbstverwaltung,1994 - 1996,"LMU, München",Institut für Psychologie,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied des Fachbereichs,Akademische Selbstverwaltung,1994 -,"LMU, München",Fachbereich Psychologie und Pädagogik,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Dekan,Akademische Selbstverwaltung,2000 - 2002,"LMU, München",Fachbereich Psychologie und Pädagogik,,
"Frey, Dieter",http://www.psy.lmu.de/soz/personen/leitung/frey/gesamtvita.pdf,Mitglied der Senatskommission für Theorie-/Praxis-Transfer,Akademische Selbstverwaltung,2000 – 2002,"LMU, München",Senatskommission für Theorie-/Praxis-Transfer,,
"Mayer, Karl Ulrich",MPIB Berlin,Studium ," Soziologie, Philosophie und Germanistik",1964-68,Universität Konstanz,n,,
"Mayer, Karl Ulrich",MPIB Berlin,Promotion ,n,1973,Universität Konstanz,n,,
"Mayer, Karl Ulrich",MPIB Berlin,Habilitation ,n,1977,Universität Mannheim,n,,
"Mayer, Karl Ulrich",MPIB Berlin,Direktor ,n,1979," Zentrum für Umfragen, Methoden und Analyse (ZUMA) in Mannheim",n,,
"Mayer, Karl Ulrich",MPIB Berlin,Direktor ,n,1983 -2005 ,Max-Planck-Institut für Bildungsforschung in Berlin,n,,
"Mayer, Karl Ulrich",MPIB Berlin,Mitglied des Wissenschaftsrats,n,1993-99,n,n,,
"Mayer, Karl Ulrich",MPIB Berlin,Vorsitzender der Wiss. Kommission,n,1996-99,n,n,,
"Mayer, Karl Ulrich",MPIB Berlin,Professur für Soziologie ,n,2003,Yale University,n,,
"Mayer, Karl Ulrich",MPIB Berlin,Gründungsdirektor,n,n,Yale University,Center for Research on Social Inequalities and the Life Course (CIQLE) ,,
"Mayer, Karl Ulrich",MPIB Berlin,Chair ,n, 2005–10,Yale University,Department für Soziologie ,,
"Mayer, Karl Ulrich",MPIB Berlin,Präsident der Leibniz-Gemeinschaft,n, 2010- 2014,Leibniz-Gemeinschaft,n,,
"Mayntz, Renate",http://www.mpifg.de/people/rm/lebenslauf_de.asp,B.A.,n,1950,Wellesley College (USA),n,,
"Mayntz, Renate",http://www.mpifg.de/people/rm/lebenslauf_de.asp,Dr. phil.,n,1953,Freie Universität Berlin,n,,
"Mayntz, Renate",http://www.mpifg.de/people/rm/lebenslauf_de.asp,UNESCO-Institut für Sozialwissenschaften zu Köln,n,1953 - 1957,UNESCO-Institut für Sozialwissenschaften zu Köln,n,,
"Mayntz, Renate",http://www.mpifg.de/people/rm/lebenslauf_de.asp,Habilitation ,n,1957,Freie Universität Berlin,n,,
"Mayntz, Renate",http://www.mpifg.de/people/rm/lebenslauf_de.asp,Fellowship ,n,1958 - 1959, Rockefeller Foundation,n,,
"Mayntz, Renate",http://www.mpifg.de/people/rm/lebenslauf_de.asp,Visiting Assistant Professor,n,1959 - 1960,"Columbia University, New York",n,,
"Mayntz, Renate",http://www.mpifg.de/people/rm/lebenslauf_de.asp,Privatdozent (Diätendozentur) und a.o. Professor,n,1960 - 1965,Freie Universität Berlin,n,,
"Mayntz, Renate",http://www.mpifg.de/people/rm/lebenslauf_de.asp,Gastprofessor ,n,1964,University of Edinburgh,n,,
"Mayntz, Renate",http://www.mpifg.de/people/rm/lebenslauf_de.asp,Ordinarius für Soziologie ,n,1965 - 1971,Freie Universität Berlin,n,,
"Mayntz, Renate",http://www.mpifg.de/people/rm/lebenslauf_de.asp,Gastprofessor ,n,1965,"FLASCO (Facultad Latino-americana de Ciencias Sociales, Santiago de Chile",n,,
"Mayntz, Renate",http://www.mpifg.de/people/rm/lebenslauf_de.asp,Mitglied des Deutschen Bildungsrates,n,1966 - 1970,Deutscher Bildungsrat,n,,
"Mayntz, Renate",http://www.mpifg.de/people/rm/lebenslauf_de.asp,Theodor-Heuss-Lehrstuhl ,n,1968,New School for Social Research in New York,n,,
"Mayntz, Renate",http://www.mpifg.de/people/rm/lebenslauf_de.asp,Mitglied der Studienkommission,n,1970 - 1973,Studienkommission für die Reform des öffentlichen Dienstrechts,n,,
